ticker,bursa_code,company_name,sector,index_membership,fundamentals_flag,notes
MAYBANK.KL,1155,Malayan Banking Berhad,Finance,KLCI,NORMAL,
PBBANK.KL,1295,Public Bank Berhad,Finance,KLCI,NORMAL,
TENAGA.KL,5347,Tenaga Nasional Berhad,Utilities,KLCI,NORMAL,
AMBANK.KL,1015,AMBANK Holdings Berhad,Finance,KLCI,NORMAL,
BIMB.KL,5258,BIMB Holdings Berhad,Finance,KLCI,NORMAL,
CIMB.KL,1023,CIMB Group Holdings Berhad,Finance,KLCI,NORMAL,
HLBANK.KL,5819,Hong Leong Bank Berhad,Finance,KLCI,NORMAL,
HLBKG.KL,1082,Hong Leong Financial Group Berhad,Finance,KLCI,NORMAL,
PUBLIC.KL,4065,PUBLIC BANK BERHAD,Finance,KLCI,NORMAL,
RHBANK.KL,1066,RHB Bank Berhad,Finance,KLCI,NORMAL,
SABR.KL,1869,SAB Holdings Berhad,Finance,KLCI,NORMAL,
AXIATA.KL,6888,Axiata Group Berhad,Telecommunications,KLCI,NORMAL,
DIGI.KL,0021,Digi.Com Berhad,Telecommunications,KLCI,NORMAL,
MAXIS.KL,6012,Maxis Berhad,Telecommunications,KLCI,NORMAL,
TM.KL,4863,Telekom Malaysia Berhad,Telecommunications,KLCI,NORMAL,
PETDAG.KL,5681,Petronas Dagangan Berhad,Energy,KLCI,NORMAL,
PETGAS.KL,6033,Petronas Gas Berhad,Utilities,KLCI,NORMAL,
POWER.KL,1724,Tenaga Nasional Berhad,Utilities,KLCI,NORMAL,
YTLPOWR.KL,6742,YTL Power International Berhad,Utilities,KLCI,NORMAL,
IOI.KL,1961,IOI Corporation Berhad,Plantation,KLCI,NORMAL,
SIME.KL,4197,Sime Darby Berhad,Plantation,KLCI,NORMAL,
GENTING.KL,3182,Genting Berhad,Plantation,KLCI,NORMAL,
GENM.KL,4715,Genting Malaysia Berhad,Consumer,KLCI,NORMAL,
MAGNI.KL,2445,Magnum Berhad,Consumer,KLCI,NORMAL,
WPRTS.KL,5246,W.P. Holdings Berhad,Consumer,KLCI,NORMAL,
BDVT.KL,3157,Boustead Holdings Berhad,Industrial,KLCI,NORMAL,
IOICORP.KL,5238,IOI Corporation Berhad,Industrial,KLCI,NORMAL,
KRETAM.KL,2189,Kreta Raya People's Bank Berhad,Finance,KLCI,NORMAL,
LIIHEN.KL,6238,Lii Hen Industries Berhad,Industrial,KLCI,NORMAL,
MFCB.KL,2194,Malayan Flour Mills Berhad,Consumer,DATA_SUSPECT,Requires verification,
MALAKOF.KL,3866,Malakoff Corporation Berhad,Utilities,DATA_SUSPECT,Requires verification,
KOSSAN.KL,6797,Kossan Rubber Industries Bhd,Industrial,DATA_SUSPECT,Requires verification,
LHI.KL,0001,Linhai International Berhad,Industrial,DATA_SUSPECT,Requires verification,
PCHEM.KL,5183,Petronas Chemicals Group Berhad,Industrial,LOSS_MAKING,,
PPB.KL,4065,PPB Group Berhad,Consumer,LOSS_MAKING,,
GADANG.KL,9261,Gadang Holdings Berhad,Industrial,NORMAL,,
HARTA.KL,5168,Harta Holdings Berhad,Real Estate,NORMAL,,
IAL.KL,4234,Inari Amertron Berhad,Technology,NORMAL,,
KNM.KL,7164,KNM Group Berhad,Industrial,NORMAL,,
LPI.KL,4218,LPi Holdings Berhad,Industrial,NORMAL,,
MBMRESO.KL,5983,MBM Resources Berhad,Consumer,NORMAL,,
MELEWAR.KL,3078,Melewar Industrial Group Berhad,Industrial,NORMAL,,
MMC.KL,2194,MMC Corporation Berhad,Industrial,NORMAL,,
PLASTIK.KL,4107,Ancom Nylex Berhad,Industrial,NORMAL,,
PMIND.KL,5275,PM Industrial Berhad,Industrial,NORMAL,,
PRESSMTL.KL,3816,Press Metal Aluminium Holdings Berhad,Industrial,NORMAL,,
SAPNRG.KL,5278,Sapura Energy Berhad,Energy,NORMAL,,
SARAWAK.KL,7034,Sarawak Consolidated Industries Berhad,Industrial,NORMAL,,
SCIENTX.KL,4631,Scientex Berhad,Industrial,NORMAL,,
SPSETIA.KL,6804,SP Setia Berhad Group,Property,NORMAL,,
TANJONG.KL,4921,Tanjong plc,Industrial,NORMAL,,
TENAGA.KL,5347,Tenaga Nasional Berhad,Utilities,KLCI,NORMAL,
TIMEDOTCOM.KL,5031,Timah Resources Berhad,Telecommunications,NORMAL,,
TOPGLOV.KL,7113,Top Glove Corporation Bhd,Healthcare,NORMAL,,
UCREST.KL,7101,Ucrest Corporation Berhad,Property,NORMAL,,
UEMSEDK.KL,5148,UEM Sunrise Berhad,Property,NORMAL,,
UOADEV.KL,5200,UOA Development Berhad,Property,Natural,,
V.S.I.KL,5243,V.S. Industry Berhad,Technology,Natural,,
WASII.KL,0103,WAH SEONG CORPORATION BERHAD,Industrial,Natural,,
WCT.KL,5246,WCT Holdings Berhad,Property,Natural,,
YTL.KL,4677,YTL Corporation Berhad,Utilities,Natural,,
