ticker,exchange,company_name
0041.KL,KLSE,
0058.KL,KLSE,Cypark
0097.KL,KLSE,
0128.KL,KLSE,
0138.KL,KLSE,
0159.KL,KLSE,Bfood International
0163.KL,KLSE,
0172.KL,KLSE,
0182.KL,KLSE,
0193.KL,KLSE,
0213.KL,KLSE,
0226.KL,KLSE,
0259.KL,KLSE,
0294.KL,KLSE,
03019.KL,KLSE,D&O Green Technologies Berhad
0311.KL,KLSE,
0356.KL,KLSE,
0388.KL,KLSE,
0398.KL,KLSE,
0426.KL,KLSE,
0473.KL,KLSE,
0514.KL,KLSE,
0525.KL,KLSE,
1023.KL,KLSE,
1066.KL,KLSE,
1082.KL,KLSE,
1155.KL,KLSE,
1295.KL,KLSE,
2282.KL,KLSE,Sime Darby Plantation Berhad
2291.KL,KLSE,
2365.KL,KLSE,Muhibbah Engineering Berhad
2445.KL,KLSE,
2488.KL,KLSE,Affin Bank Berhad
3026.KL,KLSE,KPJ Healthcare Berhad
3034.KL,KLSE,
3035.KL,KLSE,Press Metal International
3182.KL,KLSE,
3229.KL,KLSE,WCT Holdings Berhad
3395.KL,KLSE,Kuala Lumpur Kepong Berhad
3816.KL,KLSE,
4197.KL,KLSE,
4588.KL,KLSE,
4707.KL,KLSE,
4715.KL,KLSE,Genting Malaysia Berhad
4723.KL,KLSE,OSK Holdings Berhad
4782.KL,KLSE,UOA Healthcare REIT
4863.KL,KLSE,
5001.KL,KLSE,Penggeli
5005.KL,KLSE,
5014.KL,KLSE,
5015.KL,KLSE,Pappas
5016.KL,KLSE,Genting Plantation Berhad
5026.KL,KLSE,Kulim Malaysia Berhad
5031.KL,KLSE,
5041.KL,KLSE,Yinson Holdings Berhad
5100.KL,KLSE,Sunway Real Estate Investment Trust
5108.KL,KLSE,
5109.KL,KLSE,MRCB
5112.KL,KLSE,Kretam Holdings Berhad
5117.KL,KLSE,Muar Pacific Petroleum
5118.KL,KLSE,Ocean Petroleum
5122.KL,KLSE,MALAYAN BANKING BERHAD
5123.KL,KLSE,Boustead Plantations Berhad
5132.KL,KLSE,Bank Islam Malaysia Berhad
5163.KL,KLSE,Malayan Cement Berhad
5166.KL,KLSE,Unisem
5168.KL,KLSE,
5180.KL,KLSE,MRCB
5181.KL,KLSE,UOA Development Bhd
5182.KL,KLSE,Petronas Chemicals Group Berhad
5183.KL,KLSE,
5185.KL,KLSE,RHB Bank Berhad
5188.KL,KLSE,S P Setia Berhad
5200.KL,KLSE,Kemayan Corporation Berhad
5202.KL,KLSE,K Lutong
5211.KL,KLSE,
5215.KL,KLSE,
5216.KL,KLSE,KLCC Real Estate Investment Trust
5225.KL,KLSE,
5227.KL,KLSE,Padini Holdings Berhad
5242.KL,KLSE,
5246.KL,KLSE,
5250.KL,KLSE,Kuala Lumpur Kepong Berhad
5252.KL,KLSE,Alliance Bank Malaysia Berhad
5258.KL,KLSE,
5262.KL,KLSE,Gabungan AQRS Berhad
5263.KL,KLSE,
5266.KL,KLSE,
5270.KL,KLSE,Westports Holdings Berhad
5288.KL,KLSE,Autocount Berhad
5296.KL,KLSE,MR DIY Group Berhad
5302.KL,KLSE,Gas Malaysia Berhad
5308.KL,KLSE,LHS Healthcare
5347.KL,KLSE,
5398.KL,KLSE,Gamuda Berhad
5681.KL,KLSE,
5735.KL,KLSE,Southern Steel
5819.KL,KLSE,
5926.KL,KLSE,Sunway Construction Group Berhad
5932.KL,KLSE,Greatech Technology Berhad
6012.KL,KLSE,
6013.KL,KLSE,Malaysia Resources Corp
6033.KL,KLSE,
6139.KL,KLSE,Keretapi Tanah Melayu Berhad
6155.KL,KLSE,IJM Plantations Berhad
6664.KL,KLSE,Eco World Development Group Berhad
6742.KL,KLSE,TIME dotCom Berhad
6888.KL,KLSE,
6947.KL,KLSE,
7033.KL,KLSE,OldTown Berhad
7084.KL,KLSE,
7085.KL,KLSE,Matrix Global Holdings Berhad
7160.KL,KLSE,Bank Rakyat Malaysia Berhad
7178.KL,KLSE,Spriteland
7195.KL,KLSE,ITMAX Berhad
7277.KL,KLSE,
7493.KL,KLSE,Ekovest Berhad
7566.KL,KLSE,Power Root Berhad
7874.KL,KLSE,Keretapi Tanah Melayu
