ticker,signal_type,detection_date,price_at_signal,signal_priority,ml_confidence,enhancement_used
0058.KL,HIGH_12W,2026-07-06,1.75,61.0,,0
03019.KL,HIGH_12W,2026-07-06,0.13,61.0,,0
0058.KL,HIGH_4W,2026-07-06,1.75,59.0,,0
0159.KL,HIGH_4W,2026-07-06,0.01,59.0,,0
03019.KL,HIGH_4W,2026-07-06,0.13,59.0,,0
0058.KL,HIGH_2W,2026-07-06,1.75,57.0,,0
0159.KL,HIGH_2W,2026-07-06,0.01,57.0,,0
03019.KL,HIGH_2W,2026-07-06,0.13,57.0,,0
0159.KL,LOW_4W,2026-07-06,0.01,54.0,,0
0182.KL,LOW_4W,2026-07-06,0.03,54.0,,0
